"","Product","FLOW","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"63","Total RD&D in Million USD (2010 prices and exch. rates)","233 CO2 storage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.525,3.53,6.359,16.304,16.061,19.867,25.392,44.696,20.417
"64","Total RD&D in Million USD (2010 prices and exch. rates)","239 Unallocated CO2 capture and storage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.069,11.591,0.001,0.001,0.486,28.996,97.529
"65","Total RD&D in Million USD (2010 prices and exch. rates)","29 Unallocated fossil fuels",0.003,0.008,0,0,0.01,0,0,0.007,0.095,0,0.001,0.003,0.001,0,0.002,0,0,0,0.001,0.001,0.77,0.806,0.858,0,0,0.914,17.566,13.509,22.416,0.069,0.112
"66","Total RD&D in Million USD (2010 prices and exch. rates)","GROUP 3: RENEWABLE ENERGY SOURCES",544.562,647.936,596.062,472.43,649.011,503.517,388.653,364.901,401.12,377.396,421.859,419.62,380.61,415.961,343.254,341.502,350.466,345.451,361.716,304.085,345.166,393.949,435.305,429.724,399.089,528.537,614.017,746.891,792.006,1074.462,833.204
"67","Total RD&D in Million USD (2010 prices and exch. rates)","31 Solar energy",280.697,285.881,296.976,201.29,360.29,223.417,184.589,174.437,209.875,181.852,207.519,209.113,186.541,209.119,181.533,168.771,168.792,170.601,170.74,136.393,170.875,192.14,222.629,208.462,196.325,244.519,224.721,246.709,304.451,320.579,186.082
"68","Total RD&D in Million USD (2010 prices and exch. rates)","311 Solar heating and cooling",74.76,133.671,92.967,70.012,73.792,69.857,63.278,37.14,45.633,45.935,51.011,53.074,49.188,54.564,51.47,40.715,26.741,31.56,30.847,26.836,43.482,32.734,31.176,28.322,36.092,27.579,22.47,20.828,30.14,24.577,19.762
"69","Total RD&D in Million USD (2010 prices and exch. rates)","312 Photovoltaics",110.905,100.773,158.99,83.686,260.731,124.492,110.296,95.337,121.169,123.417,128.584,132.922,117.948,138.789,102.698,110.291,121.64,117.216,127.511,94.769,121.632,117.854,114.149,115.036,90.872,146.698,139.989,168.185,205.284,225.706,104.358
"70","Total RD&D in Million USD (2010 prices and exch. rates)","313 Solar thermal power and high-temp. applications",95.024,51.405,45.02,47.6,25.779,29.074,11.013,41.956,43.075,12.497,27.876,23.12,19.409,15.77,27.364,17.771,20.41,21.822,12.383,14.791,5.768,41.556,77.301,65.104,69.357,70.241,44.79,44.723,69.022,47.996,37.177
"71","Total RD&D in Million USD (2010 prices and exch. rates)","319 Unallocated solar energy",0.003,0.033,0,0.008,0,0.003,0.003,0,0,0.005,0.057,0.001,0.004,0.001,0.004,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0,0.003,0.001,17.475,12.97,0.001,22.302,24.785
"72","Total RD&D in Million USD (2010 prices and exch. rates)","32 Wind energy",89.1,127.665,122.068,83.736,107.108,139.085,71.784,76.676,82.023,100.88,117.054,103.575,79.941,100.537,68.556,79.825,97.631,83,88.319,77.123,63.364,74.021,71.768,64.812,53.064,95.439,110.102,104.011,92.483,133.701,183.328
